# T U K E
546 -1324.752574 337.533341 -987.219233
547 -1324.209779 337.472734 -986.737045
548 -1323.669291 337.413569 -986.255722
549 -1323.130255 337.355051 -985.775204
550 -1322.591810 337.296446 -985.295363
551 -1322.053146 337.237237 -984.815910
552 -1321.513828 337.176292 -984.337536
553 -1320.973106 337.113307 -983.859799
554 -1320.430740 337.048373 -983.382367
555 -1319.886406 336.980940 -982.905466
556 -1319.340092 336.911558 -982.428534
557 -1318.792177 336.840228 -981.951949
558 -1318.242898 336.767438 -981.475460
559 -1317.693047 336.694440 -980.998608
560 -1317.143495 336.622089 -980.521406
561 -1316.595504 336.551545 -980.043959
562 -1316.050688 336.484916 -979.565772
563 -1315.510764 336.423606 -979.087158
564 -1314.977659 336.370148 -978.607510
565 -1314.453864 336.326712 -978.127152
566 -1313.941650 336.296349 -977.645301
567 -1313.443839 336.281625 -977.162214
568 -1312.963209 336.285348 -976.677862
569 -1312.502725 336.310936 -976.191790
570 -1312.065674 336.361106 -975.704568
571 -1311.655114 336.439155 -975.215959
572 -1311.274010 336.548563 -974.725447
573 -1310.925689 336.692075 -974.233614
574 -1310.612832 336.872438 -973.740395
575 -1310.338247 337.092612 -973.245635
576 -1310.104456 337.354671 -972.749785
577 -1309.913723 337.660780 -972.252943
578 -1309.767976 338.013319 -971.754657
579 -1309.668775 338.413018 -971.255757
580 -1309.617280 338.860881 -970.756399
581 -1309.614170 339.357485 -970.256684
582 -1309.659548 339.902920 -969.756629
583 -1309.753256 340.496632 -969.256624
584 -1309.894649 341.137610 -968.757039
585 -1310.082543 341.824294 -968.258250
586 -1310.315161 342.555184 -967.759978
587 -1310.590472 343.327652 -967.262821
588 -1310.906119 344.139281 -966.766837
589 -1311.259145 344.986712 -966.272433
590 -1311.646576 345.866581 -965.779995
591 -1312.064864 346.775588 -965.289276
592 -1312.510307 347.709733 -964.800575
593 -1312.979038 348.664706 -964.314333
594 -1313.467081 349.637055 -963.830025
595 -1313.970417 350.621834 -963.348583
596 -1314.484914 351.615040 -962.869873
597 -1315.006431 352.612765 -962.393666
598 -1315.530851 353.610367 -961.920485
599 -1316.054188 354.603875 -961.450312
600 -1316.572020 355.589414 -960.982606
601 -1317.080912 356.562250 -960.518663
602 -1317.576739 357.519178 -960.057562
603 -1318.055867 358.455833 -959.600034
604 -1318.514659 359.369071 -959.145587
605 -1318.949553 360.254896 -958.694657
606 -1319.357345 361.109981 -958.247365
607 -1319.734579 361.931030 -957.803549
608 -1320.078206 362.714872 -957.363334
609 -1320.385355 363.458241 -956.927113
610 -1320.652944 364.158243 -956.494701
611 -1320.878134 364.812161 -956.065973
612 -1321.058397 365.417070 -955.641327
613 -1321.191184 365.970500 -955.220684
614 -1321.274117 366.470166 -954.803951
615 -1321.304877 366.913539 -954.391339
616 -1321.281276 367.298577 -953.982699
617 -1321.201476 367.623270 -953.578206
618 -1321.063536 367.885426 -953.178110
619 -1320.865978 368.084164 -952.781814
620 -1320.606900 368.217291 -952.389609
621 -1320.285435 368.284355 -952.001080
622 -1319.900426 368.283651 -951.616774
623 -1319.450857 368.214545 -951.236312
624 -1318.936363 368.076980 -950.859383
625 -1318.356526 367.870565 -950.485961
626 -1317.711472 367.595549 -950.115923
627 -1317.001522 367.252336 -949.749187
628 -1316.227468 366.842212 -949.385257
629 -1315.390393 366.366404 -949.023990
630 -1314.492014 365.827053 -948.664961
631 -1313.534502 365.226424 -948.308078
632 -1312.520583 364.567635 -947.952949
633 -1311.453701 363.854750 -947.598951
634 -1310.337703 363.091895 -947.245809
635 -1309.177474 362.284323 -946.893151
636 -1307.978444 361.438388 -946.540056
637 -1306.746739 360.560381 -946.186359
638 -1305.489474 359.657936 -945.831538
639 -1304.214362 358.739144 -945.475218
640 -1302.929787 357.813287 -945.116500
641 -1301.645002 356.889676 -944.755326
642 -1300.369649 355.978355 -944.391294
643 -1299.113511 355.089702 -944.023809
644 -1297.887045 354.233941 -943.653104
645 -1296.700592 353.421939 -943.278653
646 -1295.563760 352.663004 -942.900756
647 -1294.486603 351.967022 -942.519580
648 -1293.477623 351.342477 -942.135146
649 -1292.544936 350.797147 -941.747789
650 -1291.695206 350.336522 -941.358684
651 -1290.933978 349.966397 -940.967580
652 -1290.264808 349.689482 -940.575326
653 -1289.690464 349.507420 -940.183045
654 -1289.211593 349.420538 -939.791055
655 -1288.827434 349.427517 -939.399917
656 -1288.535813 349.525512 -939.010302
657 -1288.333172 349.710730 -938.622442
658 -1288.215098 349.977699 -938.237398
659 -1288.176277 350.321408 -937.854869
660 -1288.210419 350.734889 -937.475530
661 -1288.310776 351.211727 -937.099049
662 -1288.470725 351.744741 -936.725984
663 -1288.683093 352.327120 -936.355972
664 -1288.940846 352.951411 -935.989434
665 -1289.237193 353.611321 -935.625872
666 -1289.565306 354.299704 -935.265602
667 -1289.918844 355.010666 -934.908178
668 -1290.291777 355.737914 -934.553863
669 -1290.678386 356.475862 -934.202524
670 -1291.072768 357.219013 -933.853755
671 -1291.470086 357.961994 -933.508093
672 -1291.865157 358.700255 -933.164903
673 -1292.253480 359.428973 -932.824508
674 -1292.630705 360.143784 -932.486922
675 -1292.992748 360.841177 -932.151571
676 -1293.335937 361.516636 -931.819301
677 -1293.656735 362.167628 -931.489107
678 -1293.952126 362.790554 -931.161572
679 -1294.219118 363.382423 -930.836695
680 -1294.455171 363.941559 -930.513611
681 -1294.658179 364.465035 -930.193144
682 -1294.826388 364.952028 -929.874360
683 -1294.958656 365.400893 -929.557763
684 -1295.053839 365.810993 -929.242846
685 -1295.111430 366.181079 -928.930351
686 -1295.131322 366.512437 -928.618885
687 -1295.113663 366.804703 -928.308960
688 -1295.059180 367.058706 -928.000474
689 -1294.968887 367.275608 -927.693279
690 -1294.844113 367.456970 -927.387143
691 -1294.686273 367.604291 -927.081982
692 -1294.497502 367.719741 -926.777762
693 -1294.279794 367.805489 -926.474305
694 -1294.035690 367.864165 -926.171524
695 -1293.767485 367.897694 -925.869791
