# T U K E
1837 -1269.335751 397.330176 -872.005575
1838 -1269.277204 397.198878 -872.078326
1839 -1269.200486 397.048681 -872.151805
1840 -1269.106677 396.880653 -872.226024
1841 -1268.996615 396.695864 -872.300751
1842 -1268.871496 396.495840 -872.375656
1843 -1268.733131 396.282017 -872.451114
1844 -1268.582721 396.056653 -872.526068
1845 -1268.422386 395.820940 -872.601446
1846 -1268.253777 395.577165 -872.676612
1847 -1268.079092 395.327375 -872.751717
1848 -1267.899960 395.073307 -872.826653
1849 -1267.718358 394.816977 -872.901381
1850 -1267.536163 394.560459 -872.975705
1851 -1267.355344 394.305431 -873.049913
1852 -1267.177459 394.053753 -873.123706
1853 -1267.004020 393.806554 -873.197466
1854 -1266.836747 393.566184 -873.270564
1855 -1266.676810 393.332884 -873.343926
1856 -1266.525192 393.107997 -873.417194
1857 -1266.383026 392.892530 -873.490496
1858 -1266.250716 392.686968 -873.563748
1859 -1266.128564 392.491464 -873.637100
1860 -1266.016975 392.306138 -873.710837
1861 -1265.915457 392.130745 -873.784712
1862 -1265.824092 391.964797 -873.859295
1863 -1265.741699 391.807529 -873.934170
1864 -1265.667588 391.657689 -874.009899
1865 -1265.600814 391.514087 -874.086727
1866 -1265.539561 391.375440 -874.164121
1867 -1265.482322 391.239947 -874.242375
1868 -1265.427354 391.105564 -874.321789
1869 -1265.372753 390.970490 -874.402263
1870 -1265.316203 390.832528 -874.483674
1871 -1265.255808 390.689786 -874.566022
1872 -1265.189453 390.540037 -874.649416
1873 -1265.115094 390.381328 -874.733766
1874 -1265.030860 390.211951 -874.818909
1875 -1264.934881 390.030168 -874.904713
1876 -1264.825774 389.834605 -874.991169
1877 -1264.702121 389.624410 -875.077711
1878 -1264.563278 389.399034 -875.164244
1879 -1264.408461 389.157899 -875.250562
1880 -1264.237870 388.900944 -875.336926
1881 -1264.051565 388.629482 -875.422084
1882 -1263.850481 388.343941 -875.506540
1883 -1263.635784 388.045879 -875.589906
1884 -1263.408943 387.737004 -875.671938
1885 -1263.171909 387.419484 -875.752425
1886 -1262.926794 387.096066 -875.830728
1887 -1262.676580 386.769312 -875.907268
1888 -1262.423935 386.442212 -875.981722
1889 -1262.172027 386.118155 -876.053873
1890 -1261.924235 385.800464 -876.123771
1891 -1261.683509 385.492252 -876.191257
1892 -1261.453367 385.197241 -876.256126
1893 -1261.237066 384.918693 -876.318373
1894 -1261.037989 384.659416 -876.378573
1895 -1260.858915 384.422977 -876.435938
1896 -1260.703257 384.211816 -876.491441
1897 -1260.573576 384.028952 -876.544624
1898 -1260.472159 383.876610 -876.595550
1899 -1260.401601 383.756801 -876.644800
1900 -1260.363527 383.671538 -876.691989
1901 -1260.360056 383.622098 -876.737957
1902 -1260.392138 383.610190 -876.781948
1903 -1260.461143 383.636480 -876.824663
1904 -1260.567981 383.701425 -876.866556
1905 -1260.712800 383.805356 -876.907444
1906 -1260.895854 383.948516 -876.947337
1907 -1261.117274 384.130780 -876.986494
1908 -1261.376615 384.351229 -877.025385
1909 -1261.673077 384.609129 -877.063947
1910 -1262.006211 384.903257 -877.102954
1911 -1262.374317 385.232664 -877.141652
1912 -1262.776224 385.595303 -877.180920
1913 -1263.209990 385.989708 -877.220281
1914 -1263.673780 386.412795 -877.260985
1915 -1264.165212 386.862913 -877.302299
1916 -1264.681516 387.336613 -877.344903
1917 -1265.219994 387.830721 -877.389273
1918 -1265.777411 388.342762 -877.434649
1919 -1266.350188 388.868190 -877.481998
1920 -1266.934480 389.402792 -877.531688
1921 -1267.526402 389.943030 -877.583373
1922 -1268.121906 390.483866 -877.638040
1923 -1268.716458 391.021885 -877.694573
1924 -1269.305882 391.551625 -877.754257
1925 -1269.885721 392.069517 -877.816205
1926 -1270.451687 392.570892 -877.880795
1927 -1270.999756 393.051420 -877.948336
1928 -1271.525974 393.507960 -878.018015
